"Gene.stable.ID","Gene.name"
"ENSMUSG00000100057","Gm28690"
"ENSMUSG00000101592","Gm28689"
"ENSMUSG00000100609","Gm28687"
"ENSMUSG00000101993","Gm20987"
"ENSMUSG00000099935","Gm21918"
"ENSMUSG00000100012","Gm29207"
"ENSMUSG00000099836","Gm29204"
"ENSMUSG00000100404","Gm21577"
"ENSMUSG00000099865","Gm29206"
"ENSMUSG00000100474","Gm29614"
"ENSMUSG00000100757","Gm29613"
"ENSMUSG00000100606","Gm29612"
"ENSMUSG00000101170","Gm29343"
"ENSMUSG00000099355","Gm29342"
"ENSMUSG00000100874","Gm28598"
"ENSMUSG00000101689","Gm28599"
"ENSMUSG00000099626","Gm28185"
"ENSMUSG00000102108","Gm29037"
"ENSMUSG00000093950","Gm20823"
"ENSMUSG00000101466","Gm29548"
"ENSMUSG00000101614","Gm29547"
"ENSMUSG00000101882","Gm29545"
"ENSMUSG00000099585","Gm29544"
"ENSMUSG00000101182","Gm29209"
"ENSMUSG00000101668","Gm29549"
"ENSMUSG00000099975","Gm21617"
"ENSMUSG00000099783","Gm28589"
"ENSMUSG00000101390","Gm29420"
"ENSMUSG00000099699","Gm29421"
"ENSMUSG00000100856","Gm21627"
"ENSMUSG00000101544","Gm29422"
"ENSMUSG00000100159","Gm28808"
"ENSMUSG00000101119","Gm29060"
"ENSMUSG00000099520","Gm29061"
"ENSMUSG00000102107","Gm29062"
"ENSMUSG00000101057","Gm29057"
"ENSMUSG00000101125","Gm29625"
"ENSMUSG00000100521","Gm29058"
"ENSMUSG00000101790","Gm29059"
"ENSMUSG00000100452","Gm29628"
"ENSMUSG00000099350","Gm29623"
"ENSMUSG00000100329","Gm29622"
"ENSMUSG00000099940","Gm29265"
"ENSMUSG00000101766","Gm20908"
"ENSMUSG00000101530","Gm29259"
"ENSMUSG00000100676","Gm28860"
"ENSMUSG00000101539","Gm28252"
"ENSMUSG00000100353","Gm28859"
"ENSMUSG00000101569","Gm28254"
"ENSMUSG00000101184","Gm28861"
"ENSMUSG00000099386","Gm28255"
"ENSMUSG00000095785","Gm20924"
"ENSMUSG00000099487","Gm21848"
"ENSMUSG00000101507","Gm29457"
"ENSMUSG00000093993","Gm20736"
"ENSMUSG00000100956","Gm28558"
